Month,Year,"OIL COMPANIES","Quantity (000 Metric Tonnes)"
April,2020,"HPCL-VISAKH,ANDHRA PRADESH",774.00
April,2020,"RIL TOTAL",5314.00
April,2020,"GRAND TOTAL",14745.00
May,2020,"IOCL-BARAUNI,BIHAR",337.00
May,2020,"IOCL-GUWAHATI,ASSAM",24.00
May,2020,"IOCL TOTAL",4311.00
May,2020,CPCL-TOTAL,441.00
May,2020,"NRL-NUMALIGARH, ASSAM",206.00
May,2020,"RIL,JAMNAGAR,GUJARAT",2762.00
June,2020,BORL-BINA,387.00
June,2020,BPCL-TOTAL,2540.00
June,2020,"HMEL-GGSR, BATHINDA, PUNJAB",785.00
July,2020,"IOCL-PARADIP,ODISHA",1025.00
July,2020,CPCL-TOTAL,724.00
July,2020,BORL-BINA,411.00
July,2020,"ONGC TOTAL",773.00
July,2020,"RIL,JAMNAGAR,GUJARAT",2830.00
July,2020,"NEL-VADINAR,GUJARAT",1560.00
July,2020,"GRAND TOTAL",17680.00
August,2020,"IOCL-KOYALI, GUJARAT",834.00
August,2020,"IOCL-DIGBOI,ASSAM",56.00
August,2020,"IOCL TOTAL",3950.00
August,2020,"BPCL-MUMBAI, MAHARASHTRA",828.00
August,2020,"MRPL-MANGALORE,KARNATAKA",905.00
September,2020,"IOCL-GUWAHATI,ASSAM",75.00
September,2020,CPCL-TOTAL,770.00
September,2020,BORL-BINA,489.00
September,2020,"HPCL-VISAKH,ANDHRA PRADESH",728.00
October,2020,"ONGC TOTAL",738.00
October,2020,"HPCL-MUMBAI,MAHARASHTRA",496.00
October,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1038.00
November,2020,"CPCL-MANALI, TAMILNADU",729.00
November,2020,CPCL-TOTAL,729.00
November,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
November,2020,"HPCL-MUMBAI,MAHARASHTRA",612.00
November,2020,"HPCL-VISAKH,ANDHRA PRADESH",808.00
November,2020,"GRAND TOTAL",20782.00
December,2020,"IOCL-MATHURA, UTTAR PRADESH",871.00
December,2020,CPCL-TOTAL,766.00
December,2020,BPCL-TOTAL,3414.00
December,2020,"RIL,JAMNAGAR,GUJARAT",2996.00
December,2020,"GRAND TOTAL",21024.00
January,2021,"NRL-NUMALIGARH, ASSAM",249.00
January,2021,BPCL-TOTAL,3837.00
January,2021,"ONGC TOTAL",1427.00
February,2021,"IOCL-BONGAIGAON,ASSAM",196.00
February,2021,"HPCL-VISAKH,ANDHRA PRADESH",737.00
March,2021,"IOCL-MATHURA, UTTAR PRADESH",853.00
March,2021,"IOCL-PARADIP,ODISHA",1362.00
March,2021,CPCL-TOTAL,964.00
April,2023,"IOCL-KOYALI, GUJARAT",1121.57
April,2023,"IOCL-HALDIA, WEST BENGAL",706.28
April,2023,"IOCL-GUWAHATI,ASSAM",94.00
April,2023,"IOCL-BONGAIGAON,ASSAM",249.60
April,2023,CPCL-TOTAL,919.52
April,2023,"BPCL-MUMBAI, MAHARASHTRA",1258.57
April,2023,BPCL-TOTAL,3236.66
April,2023,"NRL-NUMALIGARH, ASSAM",-0.00
April,2023,"MRPL-MANGALORE,KARNATAKA",1468.92
April,2023,"RIL,JAMNAGAR,GUJARAT",2841.68
May,2023,"IOCL-PARADIP,ODISHA",1272.10
May,2023,"IOCL TOTAL",6417.40
May,2023,BPCL-TOTAL,3456.97
May,2023,"RIL TOTAL",5647.78
June,2023,"IOCL-BARAUNI,BIHAR",491.92
June,2023,BORL-BINA,579.83
June,2023,"NRL-NUMALIGARH, ASSAM",8.30
June,2023,"RIL TOTAL",5037.32
June,2023,"GRAND TOTAL",21538.44
July,2023,"IOCL-GUWAHATI,ASSAM",94.73
July,2023,"IOCL TOTAL",6013.25
July,2023,"NRL-NUMALIGARH, ASSAM",245.10
July,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",5.38
July,2023,"RIL,JAMNAGAR,GUJARAT",2951.38
August,2023,"IOCL-KOYALI, GUJARAT",1262.85
August,2023,"BPCL-KOCHI, KERALA",1345.90
August,2023,"NRL-NUMALIGARH, ASSAM",256.76
August,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1106.15
August,2023,"RIL TOTAL",5478.17
September,2023,"IOCL-HALDIA, WEST BENGAL",325.10
September,2023,"IOCL-GUWAHATI,ASSAM",90.04
September,2023,"IOCL-BONGAIGAON,ASSAM",251.38
September,2023,"NRL-NUMALIGARH, ASSAM",275.95
September,2023,HPCL-TOTAL,2934.57
October,2023,"IOCL-PARADIP,ODISHA",722.08
October,2023,"BPCL-MUMBAI, MAHARASHTRA",740.46
October,2023,BPCL-TOTAL,2994.35
October,2023,HPCL-TOTAL,3012.34
October,2023,"RIL TOTAL",4520.59
November,2023,"IOCL-BARAUNI,BIHAR",553.58
November,2023,"IOCL-PARADIP,ODISHA",1260.94
November,2023,BORL-BINA,682.46
November,2023,"HPCL-MUMBAI,MAHARASHTRA",858.19
November,2023,"HPCL-VISAKH,ANDHRA PRADESH",826.45
November,2023,HPCL-TOTAL,2759.06
November,2023,"RIL,JAMNAGAR,GUJARAT",2796.68
November,2023,"RIL TOTAL",5013.47
November,2023,"NEL-VADINAR,GUJARAT",1674.60
December,2023,"IOCL-PARADIP,ODISHA",1387.38
December,2023,BPCL-TOTAL,3619.88
December,2023,"MRPL-MANGALORE,KARNATAKA",1558.25
December,2023,"HPCL-MUMBAI,MAHARASHTRA",842.76
December,2023,"RIL,JAMNAGAR,GUJARAT",2784.65
December,2023,"RIL TOTAL",5278.44
December,2023,"NEL-VADINAR,GUJARAT",1729.72
January,2024,"IOCL-BARAUNI,BIHAR",517.57
January,2024,"IOCL-KOYALI, GUJARAT",1191.57
January,2024,"IOCL-GUWAHATI,ASSAM",95.74
January,2024,BPCL-TOTAL,3476.48
January,2024,"MRPL-MANGALORE,KARNATAKA",1527.48
February,2024,"IOCL-KOYALI, GUJARAT",1249.94
February,2024,"IOCL-PANIPAT, HARYANA",693.25
February,2024,"IOCL-GUWAHATI,ASSAM",99.02
February,2024,BPCL-TOTAL,3174.59
March,2024,"IOCL-HALDIA, WEST BENGAL",735.72
March,2024,"IOCL-GUWAHATI,ASSAM",113.51
March,2024,"CPCL-MANALI, TAMILNADU",1072.31
March,2024,"NRL-NUMALIGARH, ASSAM",285.78
March,2024,"ONGC TOTAL",1527.62
March,2024,"HMEL-GGSR, BATHINDA, PUNJAB",1103.42
March,2024,"NEL-VADINAR,GUJARAT",1728.11
April,2022,"IOCL-HALDIA, WEST BENGAL",706.39
April,2022,"IOCL-PANIPAT, HARYANA",1172.27
April,2022,"NRL-NUMALIGARH, ASSAM",270.72
April,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.05
May,2022,"IOCL-HALDIA, WEST BENGAL",712.40
May,2022,"IOCL-BONGAIGAON,ASSAM",182.52
May,2022,"IOCL-PARADIP,ODISHA",1362.51
May,2022,"BPCL-KOCHI, KERALA",1431.85
May,2022,"ONGC TOTAL",1421.98
